REF_DATE,GEO,DGUID,Broad age groups (5),Coordinate,Sex (3):Total - Sex[1],Symbol,Sex (3):Male[2],Symbol,Sex (3):Female[3],Symbol
2021,Canada,2021A000011124,Total - Age,1.1,36991980,,18219520,,18772465,
2021,Canada,2021A000011124,0 to 14 years,1.2,6012795,,3083520,,2929275,
2021,Canada,2021A000011124,15 to 64 years,1.3,23957755,,11908295,,12049465,
2021,Canada,2021A000011124,65 years and over,1.4,7021430,,3227700,,3793725,
2021,Canada,2021A000011124,85 years and over,1.5,861395,,319605,,541785,
2021,Newfoundland and Labrador,2021A000210,Total - Age,2.1,510550,,249985,,260560,
2021,Newfoundland and Labrador,2021A000210,0 to 14 years,2.2,68190,,35010,,33180,
2021,Newfoundland and Labrador,2021A000210,15 to 64 years,2.3,321750,,158240,,163510,
2021,Newfoundland and Labrador,2021A000210,65 years and over,2.4,120610,,56740,,63870,
2021,Newfoundland and Labrador,2021A000210,85 years and over,2.5,10155,,3820,,6335,
2021,Prince Edward Island,2021A000211,Total - Age,3.1,154330,,75370,,78965,
2021,Prince Edward Island,2021A000211,0 to 14 years,3.2,23640,,12120,,11520,
2021,Prince Edward Island,2021A000211,15 to 64 years,3.3,97985,,48180,,49805,
2021,Prince Edward Island,2021A000211,65 years and over,3.4,32710,,15070,,17635,
2021,Prince Edward Island,2021A000211,85 years and over,3.5,3510,,1290,,2225,
2021,Nova Scotia,2021A000212,Total - Age,4.1,969380,,471180,,498200,
2021,Nova Scotia,2021A000212,0 to 14 years,4.2,136710,,70020,,66695,
2021,Nova Scotia,2021A000212,15 to 64 years,4.3,617345,,302205,,315145,
2021,Nova Scotia,2021A000212,65 years and over,4.4,215325,,98960,,116365,
2021,Nova Scotia,2021A000212,85 years and over,4.5,23040,,8305,,14735,
2021,New Brunswick,2021A000213,Total - Age,5.1,775610,,381260,,394350,
2021,New Brunswick,2021A000213,0 to 14 years,5.2,111130,,56820,,54310,
2021,New Brunswick,2021A000213,15 to 64 years,5.3,487320,,242015,,245305,
2021,New Brunswick,2021A000213,65 years and over,5.4,177160,,82425,,94730,
2021,New Brunswick,2021A000213,85 years and over,5.5,19040,,6875,,12165,
2021,Quebec,2021A000224,Total - Age,6.1,8501835,,4201360,,4300475,
2021,Quebec,2021A000224,0 to 14 years,6.2,1391360,,713000,,678360,
2021,Quebec,2021A000224,15 to 64 years,6.3,5356940,,2686035,,2670910,
2021,Quebec,2021A000224,65 years and over,6.4,1753530,,802325,,951205,
2021,Quebec,2021A000224,85 years and over,6.5,214420,,75275,,139145,
2021,Ontario,2021A000235,Total - Age,7.1,14223940,,6968425,,7255515,
2021,Ontario,2021A000235,0 to 14 years,7.2,2251795,,1154530,,1097270,
2021,Ontario,2021A000235,15 to 64 years,7.3,9334440,,4613800,,4720640,
2021,Ontario,2021A000235,65 years and over,7.4,2637710,,1200095,,1437610,
2021,Ontario,2021A000235,85 years and over,7.5,338615,,126630,,211985,
2021,Manitoba,2021A000246,Total - Age,8.1,1342155,,666000,,676155,
2021,Manitoba,2021A000246,0 to 14 years,8.2,252935,,129685,,123250,
2021,Manitoba,2021A000246,15 to 64 years,8.3,860165,,431960,,428205,
2021,Manitoba,2021A000246,65 years and over,8.4,229050,,104360,,124690,
2021,Manitoba,2021A000246,85 years and over,8.5,29255,,10205,,19050,
2021,Saskatchewan,2021A000247,Total - Age,9.1,1132505,,562905,,569600,
2021,Saskatchewan,2021A000247,0 to 14 years,9.2,223110,,114230,,108885,
2021,Saskatchewan,2021A000247,15 to 64 years,9.3,711410,,356860,,354545,
2021,Saskatchewan,2021A000247,65 years and over,9.4,197985,,91810,,106170,
2021,Saskatchewan,2021A000247,85 years and over,9.5,27760,,9925,,17835,
2021,Alberta,2021A000248,Total - Age,10.1,4262635,,2126925,,2135710,
2021,Alberta,2021A000248,0 to 14 years,10.2,809645,,415355,,394285,
2021,Alberta,2021A000248,15 to 64 years,10.3,2823770,,1416035,,1407730,
2021,Alberta,2021A000248,65 years and over,10.4,629225,,295530,,333695,
2021,Alberta,2021A000248,85 years and over,10.5,72375,,27685,,44695,
2021,British Columbia,2021A000259,Total - Age,11.1,5000880,,2456420,,2544455,
2021,British Columbia,2021A000259,0 to 14 years,11.2,716900,,368720,,348180,
2021,British Columbia,2021A000259,15 to 64 years,11.3,3267615,,1613445,,1654170,
2021,British Columbia,2021A000259,65 years and over,11.4,1016360,,474255,,542105,
2021,British Columbia,2021A000259,85 years and over,11.5,122465,,49255,,73210,
2021,Yukon,2021A000260,Total - Age,12.1,40235,,20085,,20150,
2021,Yukon,2021A000260,0 to 14 years,12.2,6825,,3540,,3275,
2021,Yukon,2021A000260,15 to 64 years,12.3,27360,,13375,,13980,
2021,Yukon,2021A000260,65 years and over,12.4,6050,,3160,,2890,
2021,Yukon,2021A000260,85 years and over,12.5,385,,175,,210,
2021,Northwest Territories,2021A000261,Total - Age,13.1,41070,,20845,,20220,
2021,Northwest Territories,2021A000261,0 to 14 years,13.2,8475,,4320,,4155,
2021,Northwest Territories,2021A000261,15 to 64 years,13.3,28485,,14420,,14065,
2021,Northwest Territories,2021A000261,65 years and over,13.4,4105,,2110,,2000,
2021,Northwest Territories,2021A000261,85 years and over,13.5,290,,145,,150,
2021,Nunavut,2021A000262,Total - Age,14.1,36860,,18755,,18105,
2021,Nunavut,2021A000262,0 to 14 years,14.2,12085,,6180,,5900,
2021,Nunavut,2021A000262,15 to 64 years,14.3,23170,,11720,,11445,
2021,Nunavut,2021A000262,65 years and over,14.4,1605,,855,,755,
2021,Nunavut,2021A000262,85 years and over,14.5,80,,35,,50,


