REF_DATE,GEO,DGUID,Age (13B),Knowledge of official languages (5),Coordinate,Statistics (6A):2021 Counts[1],Symbol,Statistics (6A):% distribution (2021)[2],Symbol,Statistics (6A):% change (2016 to 2021)[3],Symbol,Statistics (6A):% change (2011 to 2021)[4],Symbol,Statistics (6A):2016 Counts[5],Symbol,Statistics (6A):2011 Counts[6],Symbol
2021,Canada,2021A000011124,Total - Age,Total - Knowledge of official languages,1.1.1,36620955,,100.0,,5.3,,10.6,,34767250,,33121175,
2021,Canada,2021A000011124,Total - Age,English only,1.1.2,25261655,,69.0,,6.3,,12.0,,23757525,,22564665,
2021,Canada,2021A000011124,Total - Age,French only,1.1.3,4087890,,11.2,,-1.4,,-1.9,,4144685,,4165015,
2021,Canada,2021A000011124,Total - Age,English and French,1.1.4,6581680,,18.0,,5.9,,13.6,,6216065,,5795570,
2021,Canada,2021A000011124,Total - Age,Neither English nor French,1.1.5,689730,,1.9,,6.3,,15.7,,648970,,595920,
2021,Canada,2021A000011124,0 to 14 years,Total - Knowledge of official languages,1.2.1,6008765,,100.0,,3.0,,7.3,,5833240,,5602065,
2021,Canada,2021A000011124,0 to 14 years,English only,1.2.2,4096095,,68.2,,3.7,,5.8,,3950975,,3871835,
2021,Canada,2021A000011124,0 to 14 years,French only,1.2.3,972330,,16.2,,-3.1,,0.8,,1002980,,964900,
2021,Canada,2021A000011124,0 to 14 years,English and French,1.2.4,828895,,13.8,,9.1,,28.0,,759555,,647665,
2021,Canada,2021A000011124,0 to 14 years,Neither English nor French,1.2.5,111435,,1.9,,-6.9,,-5.3,,119730,,117665,
2021,Canada,2021A000011124,0 to 4 years,Total - Knowledge of official languages,1.3.1,1829990,,100.0,,-3.5,,-2.4,,1896770,,1875660,
2021,Canada,2021A000011124,0 to 4 years,English only,1.3.2,1314420,,71.8,,-2.0,,-1.2,,1341605,,1329875,
2021,Canada,2021A000011124,0 to 4 years,French only,1.3.3,328175,,17.9,,-9.6,,-9.7,,362995,,363535,
2021,Canada,2021A000011124,0 to 4 years,English and French,1.3.4,95160,,5.2,,2.2,,17.7,,93150,,80870,
2021,Canada,2021A000011124,0 to 4 years,Neither English nor French,1.3.5,92230,,5.0,,-6.9,,-9.0,,99020,,101385,
2021,Canada,2021A000011124,5 to 9 years,Total - Knowledge of official languages,1.4.1,2053940,,100.0,,1.8,,13.6,,2016650,,1808725,
2021,Canada,2021A000011124,5 to 9 years,English only,1.4.2,1415225,,68.9,,3.6,,11.6,,1365705,,1268015,
2021,Canada,2021A000011124,5 to 9 years,French only,1.4.3,359815,,17.5,,-3.9,,12.4,,374365,,320095,
2021,Canada,2021A000011124,5 to 9 years,English and French,1.4.4,265090,,12.9,,1.2,,26.9,,261825,,208830,
2021,Canada,2021A000011124,5 to 9 years,Neither English nor French,1.4.5,13815,,0.7,,-6.4,,17.2,,14755,,11785,
2021,Canada,2021A000011124,10 to 14 years,Total - Knowledge of official languages,1.5.1,2124830,,100.0,,10.7,,10.8,,1919820,,1917685,
