REF_DATE,GEO,DGUID,Age (15C),Gender (3),Statistics (2),Coordinate,Visible minority (15):Total - Visible minority[1],Symbol,Visible minority (15):Total visible minority population[2],Symbol,Visible minority (15):South Asian[3],Symbol,Visible minority (15):Chinese[4],Symbol,Visible minority (15):Black[5],Symbol,Visible minority (15):Filipino[6],Symbol,Visible minority (15):Arab[7],Symbol,Visible minority (15):Latin American[8],Symbol,Visible minority (15):Southeast Asian[9],Symbol,Visible minority (15):West Asian[10],Symbol,Visible minority (15):Korean[11],Symbol,Visible minority (15):Japanese[12],Symbol,"Visible minority (15):Visible minority, n.i.e.[13]",Symbol,Visible minority (15):Multiple visible minorities[14],Symbol,Visible minority (15):Not a visible minority[15],Symbol
2021,Canada,2021A000011124,Total - Age,Total - Gender,2021 Counts,1.1.1.1,36328475,,9639200,,2571400,,1715775,,1547865,,957355,,694020,,580240,,390340,,360490,,218135,,98895,,172885,,331800,,26689275,
2021,Canada,2021A000011124,Total - Age,Total - Gender,% distribution (2021),1.1.1.2,100.0,,26.5,,7.1,,4.7,,4.3,,2.6,,1.9,,1.6,,1.1,,1.0,,0.6,,0.3,,0.5,,0.9,,73.5,
2021,Canada,2021A000011124,Total - Age,Men+,2021 Counts,1.1.2.1,17937165,,4712790,,1324125,,808740,,754105,,427755,,362850,,281035,,184115,,181795,,101850,,42320,,83310,,160795,,13224375,
2021,Canada,2021A000011124,Total - Age,Men+,% distribution (2021),1.1.2.2,49.4,,13.0,,3.6,,2.2,,2.1,,1.2,,1.0,,0.8,,0.5,,0.5,,0.3,,0.1,,0.2,,0.4,,36.4,
2021,Canada,2021A000011124,Total - Age,Women+,2021 Counts,1.1.3.1,18391315,,4926410,,1247275,,907030,,793765,,529600,,331170,,299205,,206220,,178700,,116280,,56570,,89575,,171010,,13464900,
2021,Canada,2021A000011124,Total - Age,Women+,% distribution (2021),1.1.3.2,50.6,,13.6,,3.4,,2.5,,2.2,,1.5,,0.9,,0.8,,0.6,,0.5,,0.3,,0.2,,0.2,,0.5,,37.1,
2021,Canada,2021A000011124,0 to 14 years,Total - Gender,2021 Counts,1.2.1.1,5992560,,1917285,,488015,,260575,,403765,,175805,,181990,,84655,,66080,,61505,,34945,,18340,,30765,,110850,,4075270,
2021,Canada,2021A000011124,0 to 14 years,Total - Gender,% distribution (2021),1.2.1.2,16.5,,5.3,,1.3,,0.7,,1.1,,0.5,,0.5,,0.2,,0.2,,0.2,,0.1,,0.1,,0.1,,0.3,,11.2,
2021,Canada,2021A000011124,0 to 14 years,Men+,2021 Counts,1.2.2.1,3075920,,982545,,250980,,134385,,204540,,90580,,93250,,43005,,34255,,31825,,18110,,9660,,15665,,56290,,2093370,
2021,Canada,2021A000011124,0 to 14 years,Men+,% distribution (2021),1.2.2.2,8.5,,2.7,,0.7,,0.4,,0.6,,0.2,,0.3,,0.1,,0.1,,0.1,,0.0,,0.0,,0.0,,0.2,,5.8,
2021,Canada,2021A000011124,0 to 14 years,Women+,2021 Counts,1.2.3.1,2916640,,934745,,237030,,126190,,199225,,85220,,88735,,41655,,31830,,29675,,16835,,8680,,15100,,54560,,1981900,
2021,Canada,2021A000011124,0 to 14 years,Women+,% distribution (2021),1.2.3.2,8.0,,2.6,,0.7,,0.3,,0.5,,0.2,,0.2,,0.1,,0.1,,0.1,,0.0,,0.0,,0.0,,0.2,,5.5,
2021,Canada,2021A000011124,15 years and over,Total - Gender,2021 Counts,1.3.1.1,30335920,,7721915,,2083390,,1455195,,1144105,,781555,,512025,,495585,,324255,,298990,,183195,,80555,,142120,,220950,,22614005,
